Tide Gauge Name,Latitude,Longitude,Start Year,End Year,Mean Amplitude (cm),Minimum Amplitude (cm),Maximum Amplitude (cm),Std of Amplitude (cm),Ratio: Mean/Max,Trends Post-1970 (mm/yr),Significant,Phase Mean (degrees),Phase Circular Std (degrees),ENSO,SigENSO,NAO,SigNAO,AMO,SigAMO,PDO,SigPDO,,,,,
'KURE_I',33.33,133.24,1974,2016,14.50,11.55,16.92,1.33,0.86,0.04,NaN,236.02,3.76,-0.53,NaN,0.66,NaN,-3.54,1,-3.72,1,,,,,
'ARGENTIA',47.30,-53.98,1973,2016,8.47,5.45,10.66,1.20,0.79,-0.38,1,341.22,8.21,1.22,NaN,1.41,NaN,-2.14,1,2.86,1,,,,,
'SEPT_ILES',50.20,-66.40,1974,2016,3.66,0.97,7.88,1.38,0.46,-0.04,NaN,227.19,18.02,0.61,NaN,3.28,1,-5.05,1,-0.07,NaN,,,,,
'POHANG',36.05,129.38,1974,2016,11.14,9.29,12.96,0.85,0.86,-0.17,NaN,224.03,4.06,-0.91,NaN,0.84,NaN,-1.75,NaN,-0.71,NaN,,,,,
'CAPE_LAMBERT',-20.59,117.19,1986,2014,10.99,7.62,14.15,1.52,0.78,0.82,NaN,76.51,9.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,
'KANTON_ISLAND_B',-2.82,-171.72,1974,2016,3.87,1.18,5.82,1.10,0.66,-0.48,1,324.63,16.93,1.45,NaN,2.01,1,1.83,1,2.36,1,,,,,
'HOSOJIMA',32.43,131.67,1932,2016,13.92,11.33,15.97,1.05,0.87,0.01,NaN,232.12,3.52,-1.13,NaN,-1.91,NaN,-1.15,NaN,-1.07,NaN,,,,,
'ITO_II',34.90,139.13,1975,2015,8.35,5.79,10.63,1.00,0.79,-0.21,NaN,255.99,3.27,1.17,NaN,-6.34,1,-3.75,1,-0.01,NaN,,,,,
'KAMAISI_II',39.27,141.89,1975,2008,9.63,7.76,11.19,0.62,0.86,-0.19,1,258.31,3.47,1.37,NaN,0.05,NaN,0.69,NaN,0.16,NaN,,,,,
'ROSCOFF',48.72,-3.97,1975,2016,5.03,2.48,7.29,1.10,0.69,0.03,NaN,308.17,19.58,4.35,1,0.91,NaN,0.07,NaN,0.52,NaN,,,,,
'LOWER_ESCUMINAC',47.08,-64.88,1975,2016,3.09,0.92,5.15,0.92,0.60,-0.12,NaN,268.08,24.96,-0.72,NaN,2.65,1,-1.85,1,0.13,NaN,,,,,
'PHILADELPHIA__PIER_9N_',39.93,-75.14,1902,2017,8.90,3.31,13.85,1.72,0.64,0.85,1,193.36,10.26,-1.02,NaN,0.81,NaN,1.14,NaN,0.81,NaN,,,,,
'RAFFLES_LIGHT_HOUSE',1.17,103.75,1976,2016,7.55,5.93,9.89,0.80,0.76,0.28,NaN,342.51,7.40,-1.79,1,-1.51,NaN,1.24,NaN,-2.64,1,,,,,
'MONTEREY',36.61,-121.89,1976,2017,5.46,3.37,7.33,0.72,0.74,0.29,1,281.57,16.39,3.33,1,1.04,NaN,-1.67,1,1.88,1,,,,,
'VALDEZ',61.13,-146.36,1975,2017,10.97,8.41,13.71,1.22,0.80,0.34,NaN,314.83,9.53,3.50,NaN,0.70,NaN,2.54,NaN,3.44,1,,,,,
'TOKE_POINT__WILLIPA_BAY__WA',46.71,-123.97,1975,2017,16.02,9.94,21.21,2.16,0.76,-0.53,NaN,10.12,5.56,3.15,NaN,-3.43,1,3.19,1,4.36,1,,,,,
'SOKCHO',38.21,128.59,1976,2016,11.67,9.92,13.20,0.74,0.88,-0.08,NaN,220.32,2.94,0.02,NaN,0.49,NaN,-0.90,NaN,-0.83,NaN,,,,,
'TSIM_BEI_TSUI',22.49,114.01,1976,2016,8.69,3.09,12.62,1.86,0.69,0.63,NaN,275.68,23.08,1.35,NaN,1.41,NaN,2.53,1,2.36,NaN,,,,,
